Vehicle type,Vehicle speed,wind velocity,weather condition,status,,,,,,,,
motor bus,80,11.5,snow,sideslip,,,,,,,,
motor bus,90,10.8,snow,sideslip,,,,,,,,
motor bus,100,10.1,snow,sideslip,,,,,,,,
motor bus,110,9.7,snow,sideslip,,,,,,,,
motor bus,120,8.5,snow,sideslip,,,,,,,,
motor bus,20,10,ice,sideslip,,,,,,,,
motor bus,30,9.1,ice,sideslip,,,,,,,,
motor bus,40,8.1,ice,sideslip,,,,,,,,
motor bus,50,7.1,ice,sideslip,,,,,,,,
motor bus,60,6.6,ice,sideslip,,,,,,,,
motor bus,70,5.7,ice,sideslip,,,,,,,,
motor bus,80,5,ice,sideslip,,,,,,,,
motor bus,90,4.7,ice,sideslip,,,,,,,,
motor bus,100,4.3,ice,sideslip,,,,,,,,
motor bus,110,3.6,ice,sideslip,,,,,,,,
motor bus,120,3.2,ice,sideslip,,,,,,,,
van,20,27,sunny,rollover,,,,,,,,
van,30,26.5,sunny,rollover,,,,,,,,
van,40,26.2,sunny,rollover,,,,,,,,
van,50,25.6,sunny,rollover,,,,,,,,
van,60,24.8,sunny,rollover,,,,,,,,
van,70,24.1,sunny,rollover,,,,,,,,
van,80,23.2,sunny,rollover,,,,,,,,
van,90,22.1,sunny,rollover,,,,,,,,
van,100,21.4,sunny,rollover,,,,,,,,
van,110,20.3,sunny,rollover,,,,,,,,
van,120,19.5,sunny,rollover,,,,,,,,
van,20,27.6,sunny,ratating,,,,,,,,
van,30,26.7,sunny,ratating,,,,,,,,
van,40,25.9,sunny,ratating,,,,,,,,
van,50,24.7,sunny,ratating,,,,,,,,
van,60,23.8,sunny,ratating,,,,,,,,
van,70,22.6,sunny,ratating,,,,,,,,
van,80,21.7,sunny,ratating,,,,,,,,
van,90,20.3,sunny,ratating,,,,,,,,
van,100,19.4,sunny,ratating,,,,,,,,
van,110,18.3,sunny,ratating,,,,,,,,
van,120,17.9,sunny,ratating,,,,,,,,
van,20,27.7,sunny,sideslip,,,,,,,,
van,30,27.3,sunny,sideslip,,,,,,,,
van,40,27.1,sunny,sideslip,,,,,,,,
van,50,26.6,sunny,sideslip,,,,,,,,
van,60,25.7,sunny,sideslip,,,,,,,,
van,70,25.3,sunny,sideslip,,,,,,,,
van,80,24.1,sunny,sideslip,,,,,,,,
van,90,23.5,sunny,sideslip,,,,,,,,
van,100,22.7,sunny,sideslip,,,,,,,,
van,110,21.6,sunny,sideslip,,,,,,,,
van,120,20.1,sunny,sideslip,,,,,,,,
